name,domain,discipline,n_nodes,n_edges,n_articulation_points,n_bridges,diameter,radius,degeneracy,k_core_size,maximum_degree,degree_variance,global_clustering,degree_assortativity,degree_entropy,joint_degree_entropy,degree_skewness,degree_kurtosis,normalized_laplacian_second_moment,normalized_laplacian_third_moment,random_walk_triangle_weight,random_walk_fourth_moment,adjacency_fourth_moment_per_node,lag1_autocorr,coef_variation,fano_factor,norm_succ_diff,hurst_exponent,trend_coeff,count_skewness,target
amazon,Trade & Institutions,Commerce,330317,560804,50193,208161,26.0,13.0,25,194,913,168.20870733229702,0.0,-0.14904075672571718,1.5549051116538495,7.037932263724522,21.559858076111162,681.2856422761313,1.2674508119125436,1.802352435737631,0.0,0.22228930095577978,1558.771822219262,0.94729004191829,1.2116079262796684,263.4112780428363,0.2144333175730529,0.8807211000279602,0.8555498778015339,1.422702533846736,1143
auger,Earth & Physical Sciences,Physics,1689,4818,0,0,53.0,27.0,5,6,12,0.8852369369454636,0.4031686381688517,0.358751099546486,0.809276579488225,1.1921014878043996,0.6644137408160767,11.976316034174124,1.176906002787105,1.4727793344857778,0.05793867387553808,0.07719004775633197,84.67495559502665,0.9267611569806165,1.018606586270929,17.286621081644004,0.2600496907013662,0.9047587712447879,0.803526512420765,0.8590545890592286,66
bitcoin,Trade & Institutions,Cryptocurrency,222,1514,8,12,5.0,3.0,52,5,914,4282.392662933204,0.0,-0.5891432394981481,2.562967849921751,4.242388172509357,12.264853527653058,164.01304945841002,1.0127076148398881,1.0836141998100903,0.0,0.01387892849679577,1949046.7207207207,0.7119421732492771,1.1077961556381777,24.691317682603742,0.4439180591448974,0.8108545622953105,-0.237656889209755,4.009792611243641,319
celegans,Life Sciences & Medicine,Biology,40,39,35,39,22.0,11.0,1,40,3,0.1975,0.0,-0.014869888475829691,0.632715071169784,0.8867896876706334,-0.23980215420884782,2.3811973452297615,1.5125000000000002,2.5375,0.0,0.39131944444444444,6.05,0.355026455026455,0.8110788731013264,1.4253393665151795,0.6244343891399834,0.5453506962969071,-0.5486324744482994,1.9722797038923956,8
chickenpox,Life Sciences & Medicine,Epidemiology,20,102,1,0,6.0,3.0,8,18,16,10.36,0.4313725490196078,0.14718288641157087,1.7339835697484471,2.796861126802356,0.29151607235065913,-0.5854730497019851,1.100780753968254,1.065277836217572,0.0852667003470535,0.07377561095321139,1045.0,0.8508369621622637,0.7005849358471637,381.2960390575331,0.25142427491049224,0.6788843535742385,-0.280696829923272,0.3679344394974759,2646
college,Technology & Information,Social Networks,2094,370305,0,0,2.0,2.0,195,2094,1899,245214.07935895436,0.0,-1.0,0.3097048480911978,0.0,2.800204842948847,5.8411471624741775,1.0009551098376313,1.002865329512894,0.0,0.00939937646845671,130970193.91117479,0.8935731001656948,1.5703889674289226,764.5615569552355,0.3489123736107618,0.8013415058527915,-0.5873317137241454,2.2517173411594027,2678
crop,Life Sciences & Medicine,Ecology,2964,9371,38,1699,8.0,4.0,13,55,1139,1932.9744814517348,0.0,-0.6007474371857727,1.7394038649818697,5.101561207886473,18.317783008325748,375.9167626523419,1.0138185788792222,1.0414557366376667,0.0,0.009430404406801601,18478.31241565452,0.17793108151453657,3.4635220803040707,7709.991059741658,1.483868843282044,0.5253369800752574,0.3497665305329729,4.545405356882332,11847
email,Technology & Information,Email Exchanges,1790,792744,0,0,2.0,2.0,804,1790,986,8195.390985300182,0.0,-1.0,0.6879692351151987,0.0,0.2044113027818991,-1.9582160192950058,1.0011173184357542,1.0033519553072625,0.0,0.0022813228834692675,702171005.0681565,0.4624327588425018,0.7426760932667871,348.48807307163963,0.49210709707703615,0.6147674164996977,0.1063640287853966,0.14410353448911087,2270
epilepsy,Life Sciences & Medicine,Neurology,19,31,0,0,6.0,3.0,2,19,5,0.7202216066481996,0.1948051948051948,0.5660964230171069,1.2187590038372849,1.6946249124960264,-0.014011927112048865,-0.7023320570831899,1.320906432748538,1.9377192982456137,0.025,0.19333272417153993,23.68421052631579,0.09225239269959709,0.9857823026296467,4.577532840101701,0.912275403895322,0.5430193508798139,-0.13224392422162598,2.7041336992737857,26
faers,Life Sciences & Medicine,Pharmacology,6094,75858,149,1014,4.0,2.0,50,101,3099,4607.17558921821,3.785306500052616e-07,-0.12323046062777075,3.7478834633403673,9.659538562844926,18.689486065290318,715.0166649055952,1.0258426768485147,1.0775280246255317,5.920012216695077e-09,0.004909907927712928,93527.80374138497,0.09476089956196375,3.761637139938084,5443.189556043623,1.551097089204383,0.7334419100565795,0.23410679291431638,7.399520581964712,24423
federal,Trade & Institutions,Government,54,52,6,52,6.0,3.0,1,54,41,29.290809327846357,0.0,-0.6961241019812886,0.486882465275698,0.9636369214826723,7.169779316641512,52.13065560530422,1.1342818428184283,1.402845528455285,0.0,0.12343892524291099,64.07407407407408,0.10466895889574626,0.749571940177883,0.8025578303097275,0.478250322265984,0.5673587160841956,0.1026765137799323,6.4215330843788285,17
gwosc,Earth & Physical Sciences,Cosmology,5,10,0,0,1.0,1.0,4,5,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,1.5625,0.1875,0.203125,52.0,0.1795378872738367,0.45990745713718617,0.30832764505098303,0.3532935153581194,0.6847416979415383,-0.22053287865590535,1.441329962791735,4
idling,Transportation & Infrastructure,Mobility,18028,19259,3906,3934,665.0,333.0,2,14640,7,0.2328475774365532,0.0008754377188594296,0.1827944386984225,0.5719914235632917,1.1430185783433209,2.2574232335885114,7.978481308322767,1.4703837372904935,2.411108107626232,4.310424524813254e-05,0.33946568483525635,7.4926780563567785,0.3608601309373085,0.45982255397397925,83.64917786810649,0.3993218604173382,0.5931900943851758,0.18132037992435263,-0.3513634481035414,732
jodie,Technology & Information,Interaction Networks,9227,18257,883,5749,11.0,6.0,8,218,454,130.98029434234576,0.0,-0.11274187854909426,1.6584678424816912,6.887365312378302,14.646366962605148,388.2979613206118,1.0890098053027355,1.267029415908206,0.0,0.04591212511548238,395.4461905277989,0.6184446960909056,0.1391842150347058,98.40725876440978,0.07942559829982514,0.7220352097033038,0.09252702465679152,-0.644971229725238,6087
metrla,Transportation & Infrastructure,Traffic,207,1722,0,0,13.0,7.0,18,17,35,43.960512497374495,0.5510989624009818,0.676987788011639,3.1786923152345437,5.071566089074754,0.15032598496281538,-0.4590321807372586,1.0710214938612737,0.9506598859632944,0.039813440598275116,0.0323824659055932,4484.893719806763,0.3829407341751944,0.3118937191905717,1908.149744422205,0.28001590301882184,0.4439575673254975,-0.08176593125576721,-0.2737870962037485,35574
montevideo,Transportation & Infrastructure,Ridership,675,690,261,259,155.0,78.0,2,426,4,0.10765432098765433,0.015852047556142668,0.07457348466275639,0.3606306197615379,0.6955851595890644,2.3645724369854,14.389674842992562,1.4888065843621399,2.4647839506172837,0.0016358024691358023,0.3623225308641975,6.554074074074074,0.18372965587199042,0.35968127814181916,21.09172371491608,0.38875062570942875,0.431963179765925,-0.04919598507550271,-0.5808120547935363,256
mooc,Trade & Institutions,Education,7144,683559,0,0,2.0,2.0,97,7144,7047,646938.0917600216,0.0,-1.0,0.07186061555040615,0.0,8.406143542591895,68.66324925865946,1.0002799552071668,1.0008398656215005,0.0,0.020342454999624705,130809884.23320268,0.32018474157831894,0.23570093570169015,762.4895773881661,0.1590858709453139,0.6340885865599403,0.5484087297656185,-0.9192061579626045,18213
overflow,Technology & Information,Online Forums,2604752,7220486175,0,0,2.0,2.0,2775,2604752,2601977,7189749271.575506,0.0,-1.0,0.008356591276095619,0.0,30.588403617484094,933.650435866114,1.000000767827417,1.000002303482251,0.0,0.0007199537121891942,40031005334378.19,0.8905266954075429,0.6091510435841601,8490.642331854817,0.19605441641511362,0.8827603364735667,0.8396318124069218,0.14332972457806586,52446
pemsbay,Transportation & Infrastructure,Traffic II,325,2694,3,2,13.0,7.0,20,19,36,39.21615147928994,0.6494298859771954,0.592416742863261,3.0889896826505066,5.125719714401087,0.29193837687898955,-0.0445630788447664,1.0732356064116828,0.9486565416122577,0.050438211565575174,0.04044077689956934,4257.461538461538,0.2985003816738804,0.15166219874860595,614.0006119245143,0.11943039240202304,0.5022641540090402,0.017935554181445733,-0.9924333826495361,35838
rain,Earth & Physical Sciences,Meteorology,17,40,0,0,4.0,2.0,4,16,7,1.2664359861591694,0.4528301886792453,-0.08754758020663149,1.3647193751408024,2.0474240601572955,-0.16205083089403174,0.9450608515376064,1.2112418300653596,1.5572408963585436,0.07648459383753503,0.11025271293702665,60.0,0.2867441998457248,1.0665511182269487,9.279860505665821,0.771926765475058,0.6253848140831604,0.19985318153341494,2.4574807656734987,46
river,Earth & Physical Sciences,Hydrology,23,22,21,22,22.0,11.0,1,23,2,0.07939508506616255,0.0,-0.04761904761904616,0.2954391918721159,0.3046360973492379,-3.1403996438884065,8.605442176870755,1.5217391304347827,2.5652173913043477,0.0,0.40217391304347827,5.565217391304348,0.24027452706644636,0.7173517199905821,1.3218915343910198,0.5586970899468724,0.7363334977308175,0.4528830303706474,1.2816287372254147,9
seismic,Earth & Physical Sciences,Geology,91,4095,0,0,1.0,1.0,90,91,90,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.011111111111111,1.0223456790123424,0.0109876543209877,0.010989026063100177,720990.0,0.6534069694198049,0.21250000284489928,17.106899925766,0.1292120235626815,0.6790660405925996,-0.20853413585967806,4.205119203664944,1129
wiki,Technology & Information,Knowledge Graphs,1068,27079,2,2,4.0,3.0,54,55,533,1848.2191186578577,0.3213045302714614,-0.0021167647125431097,4.714588369202875,8.91968176538676,2.7669500062062657,18.066523076729634,1.0228616127401164,1.0631326355803286,0.005452202640020975,0.004402877954404027,99612.03932584269,0.6994853281874901,0.21568240077618284,30220.392124737857,0.11691552585701784,0.7168368590127002,0.09548583220207008,0.28595598411754014,1323743
windmill,Transportation & Infrastructure,Energy,319,101761,0,0,1.0,1.0,638,319,638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0015673981191222,1.0015600086551166,0.0031200750704852157,0.003115188509301857,516139441.0,-0.05833575373375383,0.16019171491329917,86.4743511273912,0.18536499091904768,0.5316087747660672,-0.01579554334983177,-0.08445453572779066,4668
world,Trade & Institutions,International Development,144,63,0,0,2.0,2.0,3,24,21,9.734375,0.0,-1.0,0.5133562357423771,0.0,5.678205011491068,34.32318313905059,0.0,0.0,0.0,0.0,55.125,0.24822316318563684,0.77464493416454,1.521361344537215,0.6610693277308317,0.6403027038914146,0.05590485028092596,1.7133973018682234,11
